Nome,Criado em,Criado por,ID,Query (arquivo),Tipo de banco,Versão da Query,Índice da Consulta
Tarefas,6 de fevereiro de 2026 09:25,Marina Santoro,2,../../NV%20RFI%20Escopo%20-%20Relat%C3%B3rio%20de%20Tarefas/Etapa%202/Plano%20de%20Desenvolvimento/Verso_01_-_12jan26.sql,Relacional,1,1
Tarefas,6 de fevereiro de 2026 09:25,Marina Santoro,1,../../NV%20RFI%20Escopo%20-%20Relat%C3%B3rio%20de%20Tarefas/Etapa%202/Plano%20de%20Desenvolvimento/Verso_02_-_21jan26.sql,Relacional,2,1
