ID,Nome,Índice da Consulta,Versão da Query,Tipo de banco,Query (arquivo),Criado em,Criado por
1,Tarefas,1,1,Relacional,../../NV%20RFI%20Escopo%20-%20Relat%C3%B3rio%20de%20Tarefas/Etapa%202/Plano%20de%20Desenvolvimento/Verso_01_-_12jan26.sql,19 de fevereiro de 2026 15:40,Marina Santoro
2,Tarefas,1,2,Relacional,../../NV%20RFI%20Escopo%20-%20Relat%C3%B3rio%20de%20Tarefas/Etapa%202/Plano%20de%20Desenvolvimento/Verso_02_-_21jan26.sql,19 de fevereiro de 2026 15:40,Marina Santoro
