Nome,Aprovado por,Data Aprovação,Porta,Qtd Endpoints,Report Id,Status Aprovação,Status Execução,Versão
Plano de Desenvolvimento,Vinícius Risoléo,26/01/2026,12,1,6967aa3d188155c2ec0f1104,Alterada,Finalizada,1
Plano de Desenvolvimento,Vinícius Risoléo,26/01/2026,12,1,6967aa3d188155c2ec0f1104,Aprovada,Finalizada,2
