Nome,Aprovado por,Data Aprovação,Nome do relatório,Status Aprovação,Status Execução,Tipo de Relatório,Versão,Visualização do relatório
Folha de Escopo,"Marina Santoro, Ju Ferré",05/01/2026,Relatório de Gestão de Tarefas,Alterada,Finalizada,Standard,1,NV%20RFI%20Escopo%20-%20Relat%C3%B3rio%20de%20Tarefas/Relatrios_Tarefas_(3).jpg
Folha de Escopo,"Marina Santoro, Ju Ferré",05/01/2026,Relatório de Gestão de Tarefas,Aprovada,Finalizada,Standard,2,"NV%20RFI%20Escopo%20-%20Relat%C3%B3rio%20de%20Tarefas/Blocos_5_e_6.png, NV%20RFI%20Escopo%20-%20Relat%C3%B3rio%20de%20Tarefas/Classificao_-_Bloco_8.png"
