Nome,Versão,Status Execução,Status Aprovação,Data Aprovação,Aprovado por,Nome do relatório,Tipo de Relatório,Visualização do relatório
Folha de Escopo,1,Finalizada,Alterada,05/01/2026,"Marina Santoro, Ju Ferré",Relatório de Gestão de Tarefas,Standard,NV%20RFI%20Escopo%20-%20Relat%C3%B3rio%20de%20Tarefas/Relatrios_Tarefas_(3).jpg
Folha de Escopo,2,Finalizada,Aprovada,05/01/2026,"Marina Santoro, Ju Ferré",Relatório de Gestão de Tarefas,Standard,"NV%20RFI%20Escopo%20-%20Relat%C3%B3rio%20de%20Tarefas/Blocos_5_e_6.png, NV%20RFI%20Escopo%20-%20Relat%C3%B3rio%20de%20Tarefas/Classificao_-_Bloco_8.png"
