ID,Nome do Bloco,Índice,Tipo de visualização,Dataset da seção,Granularidade,Filtro aplicado no bloco,Criado por,Criado em,Status,Anexos,Última edição,Última edição por
1,Tipo de Tarefa | Quantidade,1,Gráfico de barras,Tarefas 'finalizadas' e tarefas 'backlog',Tarefa,Yes,Vinícius Risoléo,5 de fevereiro de 2026 09:27,Aprovado,,5 de fevereiro de 2026 09:27,Vinícius Risoléo
5,Responsável | Quantidade,2,Gráfico de barras,Tarefas 'finalizadas' e tarefas 'backlog',Tarefa,Yes,Vinícius Risoléo,5 de fevereiro de 2026 09:27,Aprovado,,5 de fevereiro de 2026 09:27,Vinícius Risoléo
6,Tipo de Tarefa | Tempo para Conclusão,3,Gráfico de barras,Tarefas 'finalizadas',Tarefa,Yes,Vinícius Risoléo,5 de fevereiro de 2026 09:27,Aprovado,,5 de fevereiro de 2026 09:27,Vinícius Risoléo
4,Responsável | Tempo para Conclusão,4,Gráfico de barras,Tarefas 'finalizadas',Tarefa,Yes,Vinícius Risoléo,5 de fevereiro de 2026 09:27,Aprovado,,5 de fevereiro de 2026 09:27,Vinícius Risoléo
2,Tipo de Tarefa | Conclusão No prazo x Atrasada,5,Gráfico de barras,"Tarefas abertas e fora do prazo, Tarefas abertas no prazo, Tarefas finalizadas dentro do prazo, Tarefas finalizadas depois do prazo",Tarefa,Yes,Vinícius Risoléo,5 de fevereiro de 2026 09:27,Aprovado,,5 de fevereiro de 2026 09:27,Vinícius Risoléo
7,Responsável | Conclusão No prazo x Atrasada,6,Gráfico de barras,"Tarefas abertas e fora do prazo, Tarefas abertas no prazo, Tarefas finalizadas dentro do prazo, Tarefas finalizadas depois do prazo",Tarefa,Yes,Vinícius Risoléo,5 de fevereiro de 2026 09:27,Aprovado,,5 de fevereiro de 2026 09:27,Vinícius Risoléo
8,Top 10 Tarefas mais atrasadas,7,Tabela simples,Tarefas 'backlog' e atrasadas,Tarefa,Yes,Vinícius Risoléo,5 de fevereiro de 2026 09:27,Aprovado,,5 de fevereiro de 2026 09:27,Vinícius Risoléo
3,Top 10 Tarefas mais atrasadas por usuário,8,Tabela aninhada,Tarefas 'backlog' e atrasadas,Tarefa,Yes,Vinícius Risoléo,5 de fevereiro de 2026 09:27,Aprovado,,5 de fevereiro de 2026 09:27,Vinícius Risoléo
