Nome do Bloco,Anexos,Criado em,Criado por,Dataset da seção,Filtro aplicado no bloco,Granularidade,ID,Status,Tipo de visualização,Índice,Última edição,Última edição por
Top 10 Tarefas mais atrasadas por usuário,,5 de fevereiro de 2026 09:27,Vinícius Risoléo,Tarefas 'backlog' e atrasadas,Yes,Tarefa,3,Aprovado,Tabela aninhada,8,5 de fevereiro de 2026 09:27,Vinícius Risoléo
Tipo de Tarefa | Quantidade,,5 de fevereiro de 2026 09:27,Vinícius Risoléo,Tarefas 'finalizadas' e tarefas 'backlog',Yes,Tarefa,1,Aprovado,Gráfico de barras,1,5 de fevereiro de 2026 09:27,Vinícius Risoléo
Responsável | Quantidade,,5 de fevereiro de 2026 09:27,Vinícius Risoléo,Tarefas 'finalizadas' e tarefas 'backlog',Yes,Tarefa,5,Aprovado,Gráfico de barras,2,5 de fevereiro de 2026 09:27,Vinícius Risoléo
Tipo de Tarefa | Conclusão No prazo x Atrasada,,5 de fevereiro de 2026 09:27,Vinícius Risoléo,"Tarefas abertas e fora do prazo, Tarefas abertas no prazo, Tarefas finalizadas dentro do prazo, Tarefas finalizadas depois do prazo",Yes,Tarefa,2,Aprovado,Gráfico de barras,5,5 de fevereiro de 2026 09:27,Vinícius Risoléo
Responsável | Tempo para Conclusão,,5 de fevereiro de 2026 09:27,Vinícius Risoléo,Tarefas 'finalizadas',Yes,Tarefa,4,Aprovado,Gráfico de barras,4,5 de fevereiro de 2026 09:27,Vinícius Risoléo
Top 10 Tarefas mais atrasadas,,5 de fevereiro de 2026 09:27,Vinícius Risoléo,Tarefas 'backlog' e atrasadas,Yes,Tarefa,8,Aprovado,Tabela simples,7,5 de fevereiro de 2026 09:27,Vinícius Risoléo
Tipo de Tarefa | Tempo para Conclusão,,5 de fevereiro de 2026 09:27,Vinícius Risoléo,Tarefas 'finalizadas',Yes,Tarefa,6,Aprovado,Gráfico de barras,3,5 de fevereiro de 2026 09:27,Vinícius Risoléo
Responsável | Conclusão No prazo x Atrasada,,5 de fevereiro de 2026 09:27,Vinícius Risoléo,"Tarefas abertas e fora do prazo, Tarefas abertas no prazo, Tarefas finalizadas dentro do prazo, Tarefas finalizadas depois do prazo",Yes,Tarefa,7,Aprovado,Gráfico de barras,6,5 de fevereiro de 2026 09:27,Vinícius Risoléo
