Nome,Criado em,Criado por,ID,Query (arquivo),Tipo de banco,Versão da Query,Índice da Consulta
Tarefas,19 de janeiro de 2026 16:00,Vinícius Risoléo,1,Plano%20de%20Desenvolvimento/Verso_01_-_12jan26.sql,Relacional,1,1
Tarefas,26 de janeiro de 2026 14:10,Vinícius Risoléo,2,Plano%20de%20Desenvolvimento/Verso_02_-_21jan26.sql,Relacional,2,1
