ID,Nome,Índice da Consulta,Versão da Query,Tipo de banco,Query (arquivo),Criado em,Criado por
1,Tarefas,1,1,Relacional,Plano%20de%20Desenvolvimento/Verso_01_-_12jan26.sql,19 de janeiro de 2026 16:00,Vinícius Risoléo
2,Tarefas,1,2,Relacional,Plano%20de%20Desenvolvimento/Verso_02_-_21jan26.sql,26 de janeiro de 2026 14:10,Vinícius Risoléo
