Nome,Aprovado por,Data Aprovação,Porta,Qtd Endpoints,Report Id,Status Aprovação,Status Execução,Versão
Plano de Desenvolvimento,Vinícius Risoléo,,,1,,Alterada,Finalizada,1
Plano de Desenvolvimento,Vinícius Risoléo,,,1,,Aprovada,Finalizada,2
