Descrição da Solicitação,Propriedade,Arquivos e mídia,Bloqueio,Comentário uMode,Criado em,Criado por,Criticidade,Data da Solicitação,Data de Conclusão,Data de Previsão de Entrega,Etapa,Files & media,Fórmula,Horas - Recurso Específico,Horas de Demanda,ID,Key Account/Responsável,Nível de Esforço,Observações,Prioridade,Projeto,Quem solicitou?,RFI,Responsabilidade,Suporte Integração,Task,Tempo de Resolução,Texto,Tipo de Demanda,Total de Horas,uMode - Macro Tema,Área Responsável,Última edição,👥 Clientes
Novos campos planners (canal de venda e etapa atacado),Concluída,,,,23 de abril de 2025 11:14,Marina Santoro,,16/04/2025,,,Demanda Concluída,,,,,UMD-72,,,Na agenda presencial 16/04 solicitaram 2 novos campos para o time de planners. Precisa confirmar se é por variante ou por produto.,,"Gestão de Coleção [NV]
 (https://app.notion.com/p/Gest-o-de-Cole-o-NV-25eb1d38e7688051a72ff04eb7dc0c0f?pvs=21)",Bruna,,Demanda com uMode,,,,,Configuração,,,OPERAÇÃO,8 de outubro de 2025 08:55,NV (https://app.notion.com/p/NV-c03ae4eca8ff4260a889b660803b4e26?pvs=21)
Melhorias de layouts na impressão das fichas,Não iniciada,"Sem%20t%C3%ADtulo/image_(7).png, Sem%20t%C3%ADtulo/image_(14).png",,,23 de abril de 2025 11:15,Marina Santoro,,16/04/2025,,,Backlog,,,,,UMD-73,,,"Karina da modelagem solicitou alguns ajustes de layout para melhorar leitura nas impressões (parte de checklists):
• aumentar item ou destacar item (cinza e branco intercalado - igual a tela sair na impressão)
• dar cor de destaque em 100% doq é título (roxo - igual a tela sair na impressão)
• rever espaçamento - foto sai separada do texto, espaços gigantes entre informações
• o nome do revisor não aparece no checklist (nem na tela, nem na impressao)
• para ficha de pre produção: quando tem ignorado em algum tamanho da tabela, a coluna aparece na impressão. teria como ocultar?",,"Gestão de Coleção [NV]
 (https://app.notion.com/p/Gest-o-de-Cole-o-NV-25eb1d38e7688051a72ff04eb7dc0c0f?pvs=21)",Karina,,Demanda com uMode,,,,,Melhoria / Desenvolvimento,,,,26 de novembro de 2025 15:13,NV (https://app.notion.com/p/NV-c03ae4eca8ff4260a889b660803b4e26?pvs=21)
Separar fichas de aprovação (checklist v2),Concluída,,,,23 de abril de 2025 11:22,Marina Santoro,,16/04/2025,,,Demanda Concluída,,,,,UMD-74,,,"Ajustes nas fichas v2 de todas as aprovações: repilotagem, liberação de mostruário e carta lacre
• Separa ficha v1 e v2
• Incluir campo de lacre na fichas ✅
• Comentários não podem aparecer nas fichas v2",,"Gestão de Coleção [NV]
 (https://app.notion.com/p/Gest-o-de-Cole-o-NV-25eb1d38e7688051a72ff04eb7dc0c0f?pvs=21)",Karina,,Demanda com uMode,,,,,Suporte,,,OPERAÇÃO,13 de outubro de 2025 11:43,NV (https://app.notion.com/p/NV-c03ae4eca8ff4260a889b660803b4e26?pvs=21)
Criar nova ficha de aprovação de pré produção (checklist v2),Concluída,Sem%20t%C3%ADtulo/image_(15).png,,,23 de abril de 2025 11:22,Marina Santoro,,16/04/2025,,,Demanda Concluída,,,,,UMD-75,,,"Criar nova ficha com checklist v2
- Criar novo checklist sem nenhum item
- Levar campos de aprovação (análise pré produção) para impressão",,"Gestão de Coleção [NV]
 (https://app.notion.com/p/Gest-o-de-Cole-o-NV-25eb1d38e7688051a72ff04eb7dc0c0f?pvs=21)",Karina,,Demanda com uMode,,,,,Configuração,,,OPERAÇÃO,13 de outubro de 2025 11:39,NV (https://app.notion.com/p/NV-c03ae4eca8ff4260a889b660803b4e26?pvs=21)
Reunião de Alinhamento de Conta: Tamanho Piloto - Formato de Lista (Puxar da Grade),Encerrada,,,,28 de abril de 2025 10:14,Laura Delgado,,16/04/2025,,,Demanda Cancelada,,,,,UMD-76,Laura Delgado,,,,,José,,Demanda com uMode,,,,,Melhoria / Desenvolvimento,,,,3 de fevereiro de 2026 14:07,DRO (https://app.notion.com/p/DRO-e508e7111bd14988947e1182de610d31?pvs=21)
Reunião de Alinhamento de Conta: Composições + NCM (Preenchimento automático + Guia por tipo de produto),Encerrada,,,,28 de abril de 2025 13:57,Laura Delgado,,16/04/2025,,,Demanda Cancelada,,,,,UMD-77,Laura Delgado,,,,,José,,Demanda com uMode,,,,,Melhoria / Desenvolvimento,,,,3 de fevereiro de 2026 14:07,DRO (https://app.notion.com/p/DRO-e508e7111bd14988947e1182de610d31?pvs=21)
Reunião de Alinhamento de Conta: Aba Comercial - Puxar automaticamente (Erro no calculo do preço),Encerrada,,,,28 de abril de 2025 13:59,Laura Delgado,,16/04/2025,,,Demanda Cancelada,,,,,UMD-78,Laura Delgado,,,,,José,,Demanda com uMode,,,,,Melhoria / Desenvolvimento,,,,3 de fevereiro de 2026 14:07,DRO (https://app.notion.com/p/DRO-e508e7111bd14988947e1182de610d31?pvs=21)
Reunião de Alinhamento de Conta: Aba Materiais & Serviços - Calculo do preço (Duplicidade nos avimentos que tem tamanhos diferentes) + Melhorar Edição e Preenchimento,Encerrada,,,,28 de abril de 2025 14:01,Laura Delgado,,16/04/2025,,,Demanda Cancelada,,,,,UMD-79,Laura Delgado,,,,,José,,Demanda com uMode,,,,,Melhoria / Desenvolvimento,,,,3 de fevereiro de 2026 14:07,DRO (https://app.notion.com/p/DRO-e508e7111bd14988947e1182de610d31?pvs=21)
"Reunião de Alinhamento de Conta: Comentários por Modelista e Pilotagem separados, porém na mesma Aba de Modelagem e Pilotagem",Encerrada,,,,28 de abril de 2025 14:02,Laura Delgado,,16/04/2025,,,Demanda Cancelada,,,,,UMD-80,Laura Delgado,,,,,José,,Demanda com uMode,,,,,Melhoria / Desenvolvimento,,,,3 de fevereiro de 2026 14:07,DRO (https://app.notion.com/p/DRO-e508e7111bd14988947e1182de610d31?pvs=21)
Reunião de Alinhamento de Conta: Tabela de Medidas,Concluída,,,,28 de abril de 2025 14:04,Laura Delgado,,16/04/2025,,,Demanda Concluída,,,,,UMD-81,Laura Delgado,,,,,José,,Demanda com uMode,,20851,,,Configuração,,,,2 de setembro de 2025 10:27,DRO (https://app.notion.com/p/DRO-e508e7111bd14988947e1182de610d31?pvs=21)
Reunião de Alinhamento de Conta: Impressão de Ficha Resumida,Encerrada,,,,28 de abril de 2025 14:05,Laura Delgado,,16/04/2025,,,Demanda Cancelada,,,,,UMD-82,Laura Delgado,,,,,,,Demanda com uMode,,,,,Melhoria / Desenvolvimento,,,,3 de fevereiro de 2026 14:07,DRO (https://app.notion.com/p/DRO-e508e7111bd14988947e1182de610d31?pvs=21)
Reunião de Alinhamento de Conta: Impressão de Cartão para Piloto,Encerrada,,,,28 de abril de 2025 14:29,Laura Delgado,,16/04/2025,,,Demanda Cancelada,,,,,UMD-83,Laura Delgado,,,,,,,Demanda com uMode,,,,,Melhoria / Desenvolvimento,,,,3 de fevereiro de 2026 14:07,DRO (https://app.notion.com/p/DRO-e508e7111bd14988947e1182de610d31?pvs=21)
Reunião de Alinhamento de Conta: Controle de Datas e Planejamento.,Encerrada,,,,28 de abril de 2025 14:30,Laura Delgado,,16/04/2025,,,Demanda Cancelada,,,,,UMD-84,Laura Delgado,,,,,,,Demanda com uMode,,,,,Melhoria / Desenvolvimento,,,,3 de fevereiro de 2026 14:07,DRO (https://app.notion.com/p/DRO-e508e7111bd14988947e1182de610d31?pvs=21)
Nova Ficha Técnica (Modelo V2),Concluída,,,,28 de abril de 2025 15:12,Laura Delgado,,16/04/2025,25 de abril de 2025,,Demanda Concluída,,,,,UMD-85,Laura Delgado,,"Algumas solicitações não foram incluidas nessa ficha, pois gerou uma nova demanda de desenvolvimento.",,,José,,Demanda com uMode,,,,,Configuração,,,,2 de setembro de 2025 10:27,DRO (https://app.notion.com/p/DRO-e508e7111bd14988947e1182de610d31?pvs=21)
Criar nova ficha de impressão “Ficha de Modelagem,Concluída,,,,28 de abril de 2025 16:22,Julianne Rodrigues,,28/04/2025,,,Demanda Concluída,,,,,UMD-87,,,,,[NK] - uFlow (https://app.notion.com/p/NK-uFlow-273b1d38e768801d9981ebf7d499d0b8?pvs=21),Maria Cristina,,Demanda com uMode,,,,,Suporte,,ficha de impressão,OPERAÇÃO,14 de outubro de 2025 14:50,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21)
