Descrição da Solicitação,Propriedade,Arquivos e mídia,Bloqueio,Comentário uMode,Criado em,Criado por,Criticidade,Data da Solicitação,Data de Conclusão,Data de Previsão de Entrega,Etapa,Files & media,Fórmula,Horas - Recurso Específico,Horas de Demanda,ID,Key Account/Responsável,Nível de Esforço,Observações,Prioridade,Projeto,Quem solicitou?,RFI,Responsabilidade,Suporte Integração,Task,Tempo de Resolução,Texto,Tipo de Demanda,Total de Horas,uMode - Macro Tema,Área Responsável,Última edição,👥 Clientes
"Via chat, colaboradora solicitou a inclusão de um filtro de para não ver as fichas copiadas (caso as fichas copiadas tenham o mesmo elementos, vão aparecer com o filtro).",Encerrada,,,,16 de maio de 2025 09:56,Pedro Murillo,,06/05/2025,,,Demanda Cancelada,,,,,UMD-99,,,,,[NK] - uFlow (https://app.notion.com/p/NK-uFlow-273b1d38e768801d9981ebf7d499d0b8?pvs=21),Cristina,,Demanda com uMode,,,,,Melhoria / Desenvolvimento,,,PRODUTO,3 de fevereiro de 2026 14:07,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21)
"Atualmente, o filtro disponível na aba de mapas é pouco prático. Seria muito útil incluir uma funcionalidade de lupa de busca (campo de pesquisa direta) para facilitar a localização de informações de forma mais ágil e eficiente.",Não iniciada,,,,16 de maio de 2025 10:04,Pedro Murillo,,30/04/2025,,,Backlog,,,,,UMD-100,,,,,,Paulo França,,Demanda com uMode,,,,,Produto,,,,26 de novembro de 2025 15:13,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21)
"⚠️ No filtro atual, não foi encontrada a opção de filtrar utilizando o campo ""Produto - Código Safetech"". Hoje, é necessário utilizar o campo de Referência (do envelope) como alternativa. A inclusão dessa opção específica no filtro seria bastante relevante para o uso diário.",Não iniciada,,,,16 de maio de 2025 10:06,Pedro Murillo,,,,,Backlog,,,,,UMD-101,,,,,,Paulo França,,Demanda com uMode,,,,,Produto,,,,26 de novembro de 2025 15:13,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21)
"Sugestão de melhoria no arquivo gerado da Ficha de Combinação, que ainda é impresso. Seria interessante incluir as informações de:
• Produto - Família
• Produto - Modelo",Não iniciada,,,,16 de maio de 2025 10:08,Pedro Murillo,,30/04/2025,,,Backlog,,,,,UMD-102,,,,,,Paulo França,,Demanda com uMode,,,,,Configuração,,,,26 de novembro de 2025 15:13,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21)
"Ao adicionar um produto na plataforma, ele já está em desenvolvimento. A manutenção manual dessa etapa acaba gerando retrabalho desnecessário.
Rever a necessidade da etapa “Backlog” no cadastro de novos produtos. Se possível, eliminar essa etapa ou automatizar a passagem direta para o status de desenvolvimento, tornando o processo mais fluido e condizente com a realidade operacional.",Encerrada,,,,16 de maio de 2025 10:13,Pedro Murillo,,26/03/2025,,,Demanda Cancelada,,,,,UMD-103,,,,,,Cecília Monteiro,,Demanda com uMode,,,,,Configuração,,,,3 de fevereiro de 2026 14:07,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21)
"Filtro por data do calce:
Atualmente, não é possível filtrar pela data do calce de forma direta.",Não iniciada,,,,16 de maio de 2025 10:14,Pedro Murillo,,26/03/2025,,,Backlog,,,,,UMD-104,,,"Sugestão: Incluir um filtro por data do calce, sem segmentação por calce 1, 2 ou 3.",,,Gabriel Dart,,Demanda com uMode,,,,,Suporte,,,,26 de novembro de 2025 15:13,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21)
"Inserção de desenho numerado:
A forma atual de adicionar o desenho numerado exige entrar na aba de imagem do produto específico.",Standby - Produto,,,,16 de maio de 2025 10:15,Pedro Murillo,,26/03/2025,,,Na Fila,,,,,UMD-105,,,"Sugestão: Criar uma maneira simples e direta de acrescentar o desenho numerado diretamente no mapa, sem sair da tela principal.",,,Gabriel Dart,,Demanda com uMode,,,,,Produto,,,PRODUTO,10 de novembro de 2025 15:33,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21)
"Salvamento de filtros e configurações:
Hoje, ao recarregar a página, todas as configurações e filtros aplicados são perdidos.",Standby - Produto,,,,16 de maio de 2025 10:16,Pedro Murillo,,26/03/2025,,,Na Fila,,,,,UMD-106,,,"Sugestão: Permitir que o sistema salve os filtros e configurações usados pelo usuário, evitando a necessidade de refazer o processo a cada acesso.",,,Gabriel Dart,,Demanda com uMode,,,,,Produto,,,PRODUTO,10 de novembro de 2025 15:33,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21)
Relatório de MP,Concluída,,,,16 de maio de 2025 10:20,Marina Santoro,,02/05/2025,,,Demanda Concluída,,,,,UMD-107,Julianne Rodrigues,,Cris pediu esse relatorio dia 02/05/25,,[NK] - uFlow (https://app.notion.com/p/NK-uFlow-273b1d38e768801d9981ebf7d499d0b8?pvs=21),Cris,,Demanda com uMode,,,,,Relatório,,relatorios,,10 de novembro de 2025 11:58,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21)
Michelle no Sul: Precisamos ter 2 campos de nf e forma de envio na aba de aprovação. Um para Sul > BH e um BH > Sul,Concluída,,,,16 de maio de 2025 10:37,Marina Santoro,,15/05/2025,,,Demanda Concluída,,,,,UMD-108,Laura Delgado,,,,,Michelle,,Demanda com uMode,,,,,Configuração,,,,2 de setembro de 2025 10:30,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21)
"Filtrar itens de produto no mapa por variante: • filtrar fornecedor (campo custom) no mapa por variante (importante)
• filtrar por etapa no mapa por variante",Standby - Produto,,,,16 de maio de 2025 10:38,Marina Santoro,,14/05/2025,,,Na Fila,,,,,UMD-109,Laura Delgado,,,,,Michelle,,Demanda com uMode,,,,,Produto,,,PRODUTO,10 de novembro de 2025 15:33,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21)
"Desejo de preencher versões como “tabela”, sem ter que entrar na tela de versão por versão",Standby - Produto,,,,16 de maio de 2025 10:40,Marina Santoro,,14/05/2025,,,Na Fila,,,,,UMD-110,Laura Delgado,,"dor da Michelle: abrir versões por produto, demanda muito tempo",,,Michelle,,Demanda com uMode,,,,,Produto,,,PRODUTO,10 de novembro de 2025 15:33,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21)
"Rever a estrutura das cores, material cor unificado e com a sinalização da coleção",Concluída,,,,16 de maio de 2025 10:41,Marina Santoro,,14/05/2025,,,Demanda Concluída,,,,,UMD-111,Laura Delgado,,Havíamos criado um campo custom na versão para time da Luiza preencher o material principal e a cor principal mas eles querem preencher 1 informação só: material cor. E esse é o campo q precisa ser enviado para o ERP,,,Michelle,,Demanda com uMode,,,,,Suporte,,,,2 de setembro de 2025 10:30,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21)
Relatório base de Gestão de Produto,Concluída,,,,16 de maio de 2025 11:25,Marina Santoro,,,12 de dezembro de 2025,,Demanda Concluída,,,,,UMD-112,,,Desenhado no Miro ( Dezembro),,,Marina uMode,,Demanda com uMode,,,,,Relatório,,,TECH,19 de dezembro de 2025 11:51,Cambos (https://app.notion.com/p/Cambos-d6d48327e33b4105b67b9db4dbb55af1?pvs=21)
Relatório base de Gestão de Produto  🚨,Concluída,,,,16 de maio de 2025 11:25,Marina Santoro,,,2 de dezembro de 2025,,Demanda Concluída,,,,,UMD-113,,,,2,,Marina uMode,,Demanda com uMode,,,,,Relatório,,,TECH,4 de março de 2026 15:53,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21)
Relatório base de Gestão de Produto,Concluída,,,,16 de maio de 2025 11:26,Marina Santoro,,,,,Demanda Concluída,,,,,UMD-663,,,Desenhado no Miro,,[NK] - uFlow (https://app.notion.com/p/NK-uFlow-273b1d38e768801d9981ebf7d499d0b8?pvs=21),Marina uMode,,Demanda com uMode,,,,,Relatório,,,PRODUTO,6 de fevereiro de 2026 08:37,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21)
"Ao preencher o fornecedor , preencher  status com a opção = produção ;

 ",Concluída,,,,16 de maio de 2025 15:08,Julianne Rodrigues,,02/05/2025,,,Demanda Concluída,,,,,UMD-115,Julianne Rodrigues,,Alinhado para junho / mais pra frente;,,[VIX] -uFlow (https://app.notion.com/p/VIX-uFlow-277b1d38e76880f990ced3538db95d93?pvs=21),Luana Henriques,,Demanda com uMode,,,,,Configuração,,,OPERAÇÃO,21 de novembro de 2025 14:48,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21)
"Relatórios: estilo, desenvolvimento e ficha técnica após o redesenho dos novos workflows (presencial + weeklys)",Concluída,,,,16 de maio de 2025 15:10,Julianne Rodrigues,,28/03/2025,,,Demanda Concluída,,,,1,UMD-532,,,"Relatório 1: ESTILO wf: lacre, passagem de ficha, produtotos novos x repeats , por etapa estilo (efeito nv);
pilotagem (graficos = nv) e cancelados por fornecedor https://miro.com/app/board/uXjVM2hN0C0=/",,[VIX] -uFlow (https://app.notion.com/p/VIX-uFlow-277b1d38e76880f990ced3538db95d93?pvs=21),Luana Henriques,,Demanda com uMode,,,,,Relatório,,relatorios,TECH,1 de dezembro de 2025 13:57,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21)
"Impressão exibição IT TP PE paisagem 4 por página , ver + observações (MACROPLAN)",Encerrada,,,,16 de maio de 2025 15:11,Julianne Rodrigues,,16/05/2025,,,Demanda Cancelada,,,,,UMD-117,,,"Aguardando email ",,[VIX] -uFlow (https://app.notion.com/p/VIX-uFlow-277b1d38e76880f990ced3538db95d93?pvs=21),Luana Henriques,,Demanda com uMode,,,,,Produto,,template de ficha,OPERAÇÃO,3 de fevereiro de 2026 14:07,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21)
Fila da exportação,Não iniciada,,,,16 de maio de 2025 16:38,Marina Santoro,,,,,Backlog,,,,,UMD-118,,,Clientes pontualmente exportam listas grandes no mesmo dia e isso causa filas e costuma gerar atrito,,,Marina uMode,,Demanda com uMode,,,,,Melhoria / Desenvolvimento,,,,26 de novembro de 2025 15:13,uMode (https://app.notion.com/p/uMode-d777c7bd6bee41afa8c767bcdeb1eeed?pvs=21)
Filtro salvos (exibição) no mapa com muitos erros,Standby - Produto,,,,16 de maio de 2025 16:50,Marina Santoro,,,,,Backlog,,,,,UMD-119,,,,,,,,Demanda com uMode,,,,,Produto,,,PRODUTO,13 de janeiro de 2026 14:43,Cambos (https://app.notion.com/p/Cambos-d6d48327e33b4105b67b9db4dbb55af1?pvs=21)
"Configurar 2 macroplans ",Encerrada,,,,16 de maio de 2025 16:57,Julianne Rodrigues,,09/05/2025,,,Demanda Cancelada,,,,,UMD-120,,,"
• CALÇADOS: macroplan com imagem e descrição detalhada - Estimativa Tech: 2horas
• MATERIAL DA COLEÇÃO: macroplan manual com as fotos da coleção - esse eu já estimo q vai ser bem complexo - Estimativa Tech: 14horas
• MATERIAL AVIAMENTAÇÃO: querem hospedar na uMode o material para o fornecedor ter acesso (entregue)",,[NK] - uFlow (https://app.notion.com/p/NK-uFlow-273b1d38e768801d9981ebf7d499d0b8?pvs=21),"Cristiane ",,Demanda com uMode,,,,,Melhoria / Desenvolvimento,,,OPERAÇÃO,10 de abril de 2026 10:42,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21)
Kanbans novos semi acabado e  estampa,Concluída,,,,19 de maio de 2025 09:17,Julianne Rodrigues,,16/05/2025,,,Demanda Concluída,,,,,UMD-122,,,"Aguardando email ",,[VIX] -uFlow (https://app.notion.com/p/VIX-uFlow-277b1d38e76880f990ced3538db95d93?pvs=21),Luana Henriques,,Demanda Pendente do Cliente,,,,,Configuração,,workflow,OPERAÇÃO,1 de dezembro de 2025 14:17,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21)
"Criar Aprovação automatica Cambos ",Concluída,,,,19 de maio de 2025 16:35,Laura Delgado,,04/02/2025,4 de setembro de 2025,,Demanda Concluída,,,,,UMD-123,,,Ao preencher o campo “Liberado para Desenvolvimento MG” com “SIM” na aba de Dados Gerais a aprovação deve ser criada automaticamente.,,,Louise,,Demanda com uMode,,20757,,,Melhoria / Desenvolvimento,,,,4 de setembro de 2025 13:09,Cambos (https://app.notion.com/p/Cambos-d6d48327e33b4105b67b9db4dbb55af1?pvs=21)
Relatório/view : View matéria prima de mostruário por coleção https://miro.com/app/board/uXjVLX5wZdU=/,Concluída,,,,20 de maio de 2025 09:54,Julianne Rodrigues,,09/05/2025,,,Demanda Concluída,,,,,UMD-124,,,"
• View matéria prima de mostruário por coleção :  matéria prima que está marcado NÃO (aviamentos e secundários)",,[NK] - uFlow (https://app.notion.com/p/NK-uFlow-273b1d38e768801d9981ebf7d499d0b8?pvs=21),"Cristiane ",,Demanda com uMode,,,,,Relatório,,relatorios,OPERAÇÃO,14 de outubro de 2025 14:50,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21)
Inativar fornecedores que não são de produtos de moda.,Concluída,Sem%20t%C3%ADtulo/Fornec_Ativos_ProdAcabados_(1).xlsx,Aguardando Recurso Especial,"A Caedu precisa tratar a lista de fornecedores, e  depois podemos rodar o script para atualizar e inativar os que não usam",21 de maio de 2025 10:42,Julianne Rodrigues,Média,30/04/2025,,,Demanda Concluída,,,,,UMD-125,Julianne Rodrigues,,Inativar fornecedores que não são de produtos de moda - Ajuste integração fornecedores- eles precisam criar algum filtro para que possamos puxar somente os fornecedores de produtos de moda,,[CAEDU] - uFlow  (https://app.notion.com/p/CAEDU-uFlow-277b1d38e76880ebbdeee79fac74b68b?pvs=21),Vitória,,Demanda com uMode,,,,,Configuração,,,OPERAÇÃO,22 de outubro de 2025 09:49,Caedu (https://app.notion.com/p/Caedu-275bd52e58df49078f2f3b6dc76a4755?pvs=21)
"Exportar tabela da aba de cadastro com nome+ pontos de medida. ",Standby - Produto,,,,3 de junho de 2025 17:19,Julianne Rodrigues,Média,13/06/2025,,,Análise uMode,,,,,UMD-126,Julianne Rodrigues,,,,[VIX] -uFlow (https://app.notion.com/p/VIX-uFlow-277b1d38e76880f990ced3538db95d93?pvs=21),Luana Henriques,,Demanda com uMode,,,,,Melhoria / Desenvolvimento,,tabela de medidas,PRODUTO,20 de abril de 2026 17:35,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21)
"Incluir campos:  mkp varejo,mkp atacado,comentários e clusterização ",Concluída,,,,6 de junho de 2025 16:54,Julianne Rodrigues,,06/06/2025,,,Demanda Concluída,,,,,UMD-128,,,,,[NK] - uFlow (https://app.notion.com/p/NK-uFlow-273b1d38e768801d9981ebf7d499d0b8?pvs=21),Cristiane,,Demanda com uMode,,,,,Configuração,,template de ficha,OPERAÇÃO,10 de novembro de 2025 11:58,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21)
Alterações Relat Acompanhamento de Follow,Concluída,,,,8 de junho de 2025 23:55,Andrea Holmer,,05/06/2025,,,Demanda Concluída,,,,,UMD-130,Andrea Holmer,,https://umode.kanbanize.com/ctrl_board/47/cards/20954/details/,,Relatório de Follow [Reserva] (https://app.notion.com/p/Relat-rio-de-Follow-Reserva-247b1d38e76880f29e14e2ccf6060b6d?pvs=21),Priscila Cordeiro e Simone Mendes,,Demanda com uMode,,,,,Configuração,,,TECH,24 de novembro de 2025 11:30,Reserva (https://app.notion.com/p/Reserva-1be195276d794e1d98a35cddd9d2a508?pvs=21)
"Podemos incluir a opção de marcar um aviamento como Material Principal?
”Temos no Linx alguns acessórios com a MP Principal marcada, neles estão marcados os aviamentos “principais”, como linhas.",Concluída,,,,14 de junho de 2025 16:34,Julianne Rodrigues,,04/06/2025,,,Demanda Concluída,,,,,UMD-131,Julianne Rodrigues,,,,[VIX] -uFlow (https://app.notion.com/p/VIX-uFlow-277b1d38e76880f990ced3538db95d93?pvs=21),Luana Henriques,,Demanda com uMode,,,,,Configuração,,ficha tecnica,OPERAÇÃO,7 de outubro de 2025 10:54,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21)
Layout da ficha HOMEWEAR.,Encerrada,Sem%20t%C3%ADtulo/CAMISOLA_MEIA_MALHA__UNI_ALOHA.pdf,,,14 de junho de 2025 17:14,Julianne Rodrigues,,13/06/2025,,,Demanda Cancelada,,,,,UMD-132,Julianne Rodrigues,,,,[PUKET] - uFlow (https://app.notion.com/p/PUKET-uFlow-285b1d38e76880a19598eb7397b62a5c?pvs=21),Vanessa e Catarina,,Demanda com uMode,,,,,Melhoria / Desenvolvimento,,template de ficha,PRODUTO,3 de fevereiro de 2026 14:07,Puket (https://app.notion.com/p/Puket-aae6d54c5f854cc9b890f8c0c120bf0a?pvs=21)
"Configurar tabelas de medida - para que fique automatico cm ou % na edição de pontos de medidas, pois o cliente precisa mudar sempre para cm",Não iniciada,,,,30 de junho de 2025 15:28,Julianne Rodrigues,,30/06/2025,,,Backlog,,,,,UMD-133,,,,,,"Isadora,Luana",,Demanda com uMode,,,,,Melhoria / Desenvolvimento,,,,26 de novembro de 2025 15:13,Básico&Co (https://app.notion.com/p/B-sico-Co-0d33bc21acb0434f9a4a18693446b369?pvs=21)
"Tabela de Medidas ",Encerrada,,,,1 de julho de 2025 10:03,Laura Delgado,,22/04/2025,23 de setembro de 2025,,Demanda Cancelada,,,,,UMD-134,"Laura Delgado, Andrea Holmer",,,,,Louise,,Demanda com uMode,,,,,Configuração,,,KA,3 de fevereiro de 2026 14:07,Cambos (https://app.notion.com/p/Cambos-d6d48327e33b4105b67b9db4dbb55af1?pvs=21)
Controle de Produto mãe,Concluída,,,,1 de julho de 2025 10:17,Laura Delgado,,16/07/2025,31 de julho de 2025,,Demanda Concluída,,,,,UMD-135,,,,,,,,Demanda com uMode,,,,,Configuração,,,,2 de setembro de 2025 10:31,Cambos (https://app.notion.com/p/Cambos-d6d48327e33b4105b67b9db4dbb55af1?pvs=21)
Inclusão de campos naformação da descrição do produto,Concluída,,,,1 de julho de 2025 10:33,Laura Delgado,,29/05/2025,30 de maio de 2025,,Demanda Concluída,,,,,UMD-136,,,,,,,,Demanda com uMode,,,,,Configuração,,,,2 de setembro de 2025 10:31,Cambos (https://app.notion.com/p/Cambos-d6d48327e33b4105b67b9db4dbb55af1?pvs=21)
Ajuste da Aba Aprovações das Pilotos,Concluída,,,,1 de julho de 2025 10:52,Laura Delgado,,,,,Demanda Concluída,,,,,UMD-137,,,,,,,,Demanda com uMode,,,,,Configuração,,,,2 de setembro de 2025 10:31,Cambos (https://app.notion.com/p/Cambos-d6d48327e33b4105b67b9db4dbb55af1?pvs=21)
2º Macroplan Catálogo para ATP (Aqui tem Puket),Concluída,"Sem%20t%C3%ADtulo/ALTO_INVERNO_ATP_FINAL.pdf, Sem%20t%C3%ADtulo/drive-download-20260113T150151Z-1-001.zip",,,1 de julho de 2025 15:10,Julianne Rodrigues,Média,13/11/2025,,16 de janeiro de 2026,Em Validação - Cliente,,,,,UMD-138,Julianne Rodrigues,,,1,[PUKET] - uFlow (https://app.notion.com/p/PUKET-uFlow-285b1d38e76880a19598eb7397b62a5c?pvs=21),Vanessa e Catarina,Puket | RFI: Escopo - Macroplan 2 (https://app.notion.com/p/Puket-RFI-Escopo-Macroplan-2-2b9b1d38e768808d9b54fe508c03778c?pvs=21),Demanda Pendente do Cliente,,,,,Configuração,,macroplan,OPERAÇÃO,11 de fevereiro de 2026 17:09,Puket (https://app.notion.com/p/Puket-aae6d54c5f854cc9b890f8c0c120bf0a?pvs=21)
Excluir campo Programa ; validações e tudo relacionado a ele após realinhamento com a dirtoria da Caedu,Concluída,,,,3 de julho de 2025 15:41,Julianne Rodrigues,,03/07/2025,,,Demanda Concluída,,,,"0,5",UMD-139,Julianne Rodrigues,,,,[CAEDU] - uFlow  (https://app.notion.com/p/CAEDU-uFlow-277b1d38e76880ebbdeee79fac74b68b?pvs=21),Vitória,,Demanda com uMode,,,,,Configuração,,,OPERAÇÃO,7 de outubro de 2025 10:54,Caedu (https://app.notion.com/p/Caedu-275bd52e58df49078f2f3b6dc76a4755?pvs=21)
"Novos ajuste kanban FT: Validar tabela de medidas para produto acabado =NÃO ; Quando o campo Plano = REPEAT, não criar aprovação do tipo PILOTO  ; Campo definição custo – acrescentar  a validação integração linx; Liberado para cadastro sim e tabela de medidas preenchida ir para o kanban de FT",Concluída,,,,3 de julho de 2025 15:42,Julianne Rodrigues,,03/07/2025,,,Demanda Concluída,,,,,UMD-140,,,,,[VIX] -uFlow (https://app.notion.com/p/VIX-uFlow-277b1d38e76880f990ced3538db95d93?pvs=21),Luana Henriques,,Demanda com uMode,,,,,Suporte,,workflow,OPERAÇÃO,7 de outubro de 2025 10:54,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21)
Adicionar novos campos a planilha de sortimento e a ao template de ficha,Concluída,,,,3 de julho de 2025 15:44,Julianne Rodrigues,,02/07/2025,,,Demanda Concluída,,,,1,UMD-141,Julianne Rodrigues,,,,[CAEDU] - uFlow  (https://app.notion.com/p/CAEDU-uFlow-277b1d38e76880ebbdeee79fac74b68b?pvs=21),Vitória,,Demanda com uMode,,,,,Configuração,,,OPERAÇÃO,7 de outubro de 2025 10:54,Caedu (https://app.notion.com/p/Caedu-275bd52e58df49078f2f3b6dc76a4755?pvs=21)
Mapa B2B estava gerando agrupamento coleção>linha e agora apenas por coleção. Acredito que foi devido a mudança da estrutura das pastas.,Concluída,,,,3 de julho de 2025 16:01,Julianne Rodrigues,,,,,Demanda Concluída,,,,,UMD-142,Julianne Rodrigues,,,,[CAEDU] - uFlow  (https://app.notion.com/p/CAEDU-uFlow-277b1d38e76880ebbdeee79fac74b68b?pvs=21),,,Demanda com uMode,,,,,Suporte,,,OPERAÇÃO,28 de abril de 2026 21:33,Caedu (https://app.notion.com/p/Caedu-275bd52e58df49078f2f3b6dc76a4755?pvs=21)
"Acrescentar campos a view de MP:Status->Status do produto Coleção-> coleção collection uModeEntrada -> periodo entrega pcpLinha -> LinhaEstilista-> estilista Familia- > familia , Tipo, Responsável e um “campo novo tipo da entrada”",Concluída,,,,3 de julho de 2025 17:25,Julianne Rodrigues,,20/06/2025,,,Demanda Concluída,,,,,UMD-143,"Julianne Rodrigues, Pedro Murillo",,,,[NK] - uFlow (https://app.notion.com/p/NK-uFlow-273b1d38e768801d9981ebf7d499d0b8?pvs=21),Kemelly,,Demanda com uMode,,,,,Configuração,,relatorios,OPERAÇÃO,14 de novembro de 2025 10:56,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21)
"Podemos desenvolver uma forma de dar devolutivas  de possíveis erros de integração pra Caedu via API. ",Não iniciada,,,"Novo Escopo de trabalho, vinculado à analise técnica para apresentar viabilidade de entregáveis.",4 de julho de 2025 16:05,Julianne Rodrigues,,04/07/2025,,,Backlog,,,,,UMD-145,Julianne Rodrigues,,,,[CAEDU] - uFlow  (https://app.notion.com/p/CAEDU-uFlow-277b1d38e76880ebbdeee79fac74b68b?pvs=21),"Fábio ",,Demanda com uMode,,,,,Melhoria / Desenvolvimento,,,TECH,26 de novembro de 2025 15:13,Caedu (https://app.notion.com/p/Caedu-275bd52e58df49078f2f3b6dc76a4755?pvs=21)
Relatório Gestão de Aprovações,Concluída,,,,10 de julho de 2025 16:06,Laura Delgado,,10/07/2025   (BRT),,,Demanda Concluída,,,,,UMD-148,,,Sem previsão no momento,,,Contrato,,Demanda com uMode,,,,,Relatório,,,TECH,20 de maio de 2026 09:58,Cambos (https://app.notion.com/p/Cambos-d6d48327e33b4105b67b9db4dbb55af1?pvs=21)
"Ajustar validação linx: incluir campos, excluir campos e status finalizado ",Concluída,,,,11 de julho de 2025 10:45,Julianne Rodrigues,,08/07/2025,,,Demanda Concluída,,,,,UMD-149,Julianne Rodrigues,,,,[CAEDU] - uFlow  (https://app.notion.com/p/CAEDU-uFlow-277b1d38e76880ebbdeee79fac74b68b?pvs=21),Vitoria e Fábio,,Demanda com uMode,,,,,Configuração,,,OPERAÇÃO,7 de outubro de 2025 10:54,Caedu (https://app.notion.com/p/Caedu-275bd52e58df49078f2f3b6dc76a4755?pvs=21)
Configurar campos da engenharia,Concluída,,Aguardando o Cliente,,11 de julho de 2025 12:02,Julianne Rodrigues,Média,04/07/2025,,,Em Validação - Cliente,,,,,UMD-151,,,,,[VIX] -uFlow (https://app.notion.com/p/VIX-uFlow-277b1d38e76880f990ced3538db95d93?pvs=21),Luana Henriques,,Demanda Pendente do Cliente,,,,,Configuração,,checklist,OPERAÇÃO,13 de março de 2026 14:42,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21)
Preencher automaticamente o campo status linx da variante,Encerrada,,,,11 de julho de 2025 12:05,Julianne Rodrigues,,11/07/2025,,,Demanda Cancelada,,,,,UMD-152,,,,,[VIX] -uFlow (https://app.notion.com/p/VIX-uFlow-277b1d38e76880f990ced3538db95d93?pvs=21),Luana Henriques,,Demanda com uMode,,,,,Configuração,,workflow,OPERAÇÃO,3 de fevereiro de 2026 14:07,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21)
"Campo comentário da prova - liberar somente para vix estilo , admim",Concluída,,,,11 de julho de 2025 12:05,Julianne Rodrigues,,04/07/2025,,,Demanda Concluída,,,,,UMD-153,,,,,[VIX] -uFlow (https://app.notion.com/p/VIX-uFlow-277b1d38e76880f990ced3538db95d93?pvs=21),Luana Henriques,,Demanda com uMode,,,,,Configuração,,permissionamento,OPERAÇÃO,7 de outubro de 2025 10:54,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21)
"Retirar códigos do campo custom sexo, e ajustar lista do campo composição para que todas apareçam o código no inicio.",Concluída,,,,11 de julho de 2025 15:25,Julianne Rodrigues,,10/07/2025,,,Demanda Concluída,,,,"0,5",UMD-155,Julianne Rodrigues,,,,,Vanessa,,Demanda com uMode,,,,,Suporte,,,OPERAÇÃO,7 de outubro de 2025 10:54,Puket (https://app.notion.com/p/Puket-aae6d54c5f854cc9b890f8c0c120bf0a?pvs=21)
Incluir observações do fornecedor na tabela de resumo fornecedor,Concluída,,,,11 de julho de 2025 16:32,Julianne Rodrigues,,11/07/2025,,,Demanda Concluída,,,,,UMD-156,,,,,[VIX] -uFlow (https://app.notion.com/p/VIX-uFlow-277b1d38e76880f990ced3538db95d93?pvs=21),Luana Henriques,,Demanda com uMode,,,,,Configuração,,template de ficha,OPERAÇÃO,7 de outubro de 2025 10:54,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21)
